Przemyslaw Stpiczynski	 2D constraint language
Stefan Krischer	 adaptive image segmentation
Ingo Gl&ouml;ckner	 adaptive image threshold
R&uuml;diger Westermann	 adaptive image threshold
Stanley B. Zdonik	 adaptive image threshold
Jalal Mahmud	 adaptive index
Mladen A. Vouk	 adaptive index
Ales Leonardis	 Adaptive information agents
Luc Bouganim	 Adaptive information agents
Gisbert Stoyan	 adaptive load balancing
Henry A. Kautz	 adaptive load balancing
Marc Shapiro	 adaptive load balancing
Markus Holzer	 adaptive load balancing
Mikhail J. Atallah	 adaptive load balancing
Teresa H. Y. Meng	 adaptive load balancing
Ernest Ketcha Ngassam	 adaptive mobile systems
Hsueh-I Lu	 adaptive mobile systems
Jacob T. Schwartz	 adaptive mobile systems
Jan Heering	 adaptive navigation support
Julia Stoyanovich	 adaptive navigation support
Vera Stebletsova	 adaptive navigation support
Edward W. Knightly	 adaptive optimism control mechanism
Uta St&ouml;rl	 adaptive optimism control mechanism
John R. Myhill	 adaptive preconditioning
Krishnamurthy Dvijotham	 adaptive preconditioning
Gerth St&oslash;lting Brodal	 adaptive presentation
Julian Gutierrez	 adaptive presentation
Derek Hao Hu	 adaptive QoS
Maria Bras-Amor&oacute;s	 adaptive QoS
Mike Bond	 adaptive QoS
Can Alkan	 adaptive refinement
Karen D. Loch	 adaptive refinement
Paul Compton	 adaptive refinement
Abdul Sattar 0002	 adaptive replication
Armin Wolf	 adaptive replication
Hans van den Berg	 adaptive replication
Jaume Barcel&oacute;	 adaptive replication
Pius ten Hacken	 adaptive replication
Scott A. DeLoach	 adaptive replication
Manuvir Das	 adaptive resampling
Marcel Waldvogel	 adaptive resampling
R&eacute;mi Gilleron	 adaptive resampling
R&uuml;diger L. Urbanke	 adaptive resampling
Talel Abdessalem	 adaptive resampling
Tamer Basar	 adaptive resampling
Ernest Teniente	 Adaptive Research Contracts
Huaxin You	 Adaptive Research Contracts
Jacob Zahavi	 Adaptive Research Contracts
Glorianna Davenport	 adaptive routing
Markus Endler	 adaptive routing
Nancy G. Leveson	 adaptive routing
Lorna M. Brown	 adaptive routing.
Matteo Golfarelli	 adaptive routing.
Rouven Naujoks	 adaptive routing.
Mikko Kurimo	 adaptive schedules
Miriam A. M. Capretz	 adaptive schedules
Johan A. Pouwelse	 Adaptive Scheduling
Josef V. Psutka	 adaptive scheduling
Josep M. Pujol	 Adaptive Scheduling
Pl&iacute;nio Roberto Souza Vilela	 adaptive scheduling
Sameer Mahajan	 Adaptive Scheduling
Anna Spagnolli	 adaptive shading
Markus Flierl	 adaptive shading
Rudi van Drunen	 adaptive shading
Edward Y. Chang	 adaptive systems
Ernesto Damiani	 adaptive systems
Hubert &Ouml;sterle	 adaptive systems
Jacobo Tor&aacute;n	 adaptive systems
Jan H. van Schuppen	 adaptive systems
Luis Enrique Sucar	 adaptive systems
Marcos R. Vieira	 adaptive systems
Qiang Yang	 adaptive systems
Ute Schmid	 adaptive systems
Hao Lan Zhang	 adaptive transmission control algorithm
Martin Quinson	 adaptive transmission control algorithm
Eric W. Frew	 adaptive user interface
Rudolf Ferenc	 adaptive user interface
Josep M. Pujol	 adaptive versus nonadaptive oracle machines
Ke Wang	 adaptive versus nonadaptive oracle machines
Richard R. Muntz	 adaptive versus nonadaptive oracle machines
Tammara Massey	 adaptive versus nonadaptive oracle machines
Louis G. Birta	 adaptive video coding
Ruth Aylett	 adaptive web
Melanie Tory	 adaptive windows
Ray Hunt	 adaptive windows
Stephen A. Fenner	 adaptive windows
Dana D. Damian	 adaptively weighted estimation
Ramalingam Sridhar	 adaptively weighted estimation
Thomas Ludwig 0002	 adaptivity
Waldemar Celes Filho	 adaptivity
Gernot Heiser	 Adaptor
Isabelle M. Demeure	 Adaptor
Norman I. Badler	 Adaptor
S. Lennart Johnsson	 Adaptor
Palash Sarkar	 add mostly database
Paul C. van Fenema	 add mostly database
Sahin Albayrak	 add mostly database
Michael O. Ball	 address books
Mitchel Resnick	 address books
Sudhir Agarwal	 address books
Jennifer L. Welch	 address computation
Kiam Tian Seow	 address computation
Paulo F. Silva	 address computation
Kian-Lee Tan	 address generation
Paulo J. G. Lisboa	 address generation
Ben M. Herbst	 address tracing.
Mike Paterson	 address tracing.
Karyn Moffatt	 address translation
Kia Bazargan	 address translation
Ming-Tat Ko	 address translation
Serge S. Shumilov	 address translation
Martin Otto 0002	 adequacy
Mukesh Dalal	 adequacy
Rina Panigrahy	 adequacy
Giorgio Ghelli	 ad-hoc network
Philippe Michiels	 ad-hoc network
Steven Awodey	 ad-hoc network
Shin'ichi Konomi	 ad-hoc networking Classification (CR 1998):C.2.2
Konstantin Hypp&ouml;nen	 ad-hoc networks
Miodrag Potkonjak	 ad-hoc networks
Marco P&ouml;tke	 ad-hoc routing
Margrit Gelautz	 ad-hoc routing
Mitra Basu	 ad-hoc routing
Marco Patella	 ad-hoc support library
Mari Ostendorf	 ad-hoc support library
Mitsuru Ishizuka	 ad-hoc support library
Jae W. Lee	 adiabatic circuits
Ernesto Pimentel	 adjacent layers
Hubert E. Dunsmore	 adjacent layers
Jacobus E. van der Merwe	 adjacent layers
Maria Klara Wolters	 adjusted-winner mediation
Maria L. Gini	 adjusted-winner procedure
Derek Partridge	 admission control
Derick Wood	 admission control
Dermot Diamond	 admission control
Derong Liu	 admission control
Ugur Halici	 admission control
Winfried Hochst&auml;ttler	 admission control
Winfried Lamersdorf	 admission control
Derrick Parkhurst	 admission control procedure
Jos&eacute; Ant&ocirc;nio Roversi	 admission control procedure
Jure Leskovec	 admission control procedure
Pierre Kelsen	 admission probability
Thomas Kude	 admission probability
Marie-Paule Lefranc	 admission scheduling
Des Greer	 admission tests
Wing Cheong Lau	 admission tests
Desh Ranjan	 advanced serial communication protocol
Herbert Stoyan	 advanced serial communication protocol
Antti Honkela	 advanced transaction model
Jos&eacute; Martinez	 advanced transaction model
Lakhdar Sais	 advanced transaction model
Steven H. Low	 advanced transaction model
Aydin Ulas	 advection-diffusion
Peter Pfahler	 advection-diffusion
Stavros J. Hamodrakas	 AER
Vin&iacute;cius Medina Kern	 AER
Vera Hollink	 aerial image understanding
Alon Rosen	 Aero architecture style
Jianliang Xu	 Aero architecture style
Luc Bouganim	 Aero architecture style
Maurizio Marchese	 Aero architecture style
Allison Druin	 aerospace computing
Walter A. Burkhard	 aerospace computing
Erik Sandewall	 AES
Gerd Karl Binnig	 AES
Gernot Starke	 AES
Juan E. Gilbert	 AES
Liming Cai	 AES
Mark H. Hansen	 AES
Matthew Wilding	 AES
Patrizio Pelliccione	 AES
Pawel Wocjan	 AES
Pierre Genev&egrave;s	 AES
Ronald F. DeMara	 AES
Rudolf Ahlswede	 AES
Peter Forbrig	 affect
Richard Chapman	 affect
Yoav Freund	 affect
Jiawei Han	 affine arithmetic
Raymond T. Boute	 affine arithmetic
Robert Hirschfeld	 affine arithmetic
Tao Cheng	 affine arithmetic
Uwe Kastens	 affine arithmetic
Varun Ratnakar	 affine arithmetic
Zbigniew Galias	 affine arithmetic
Luc Bouganim	 affine camera
Michael Janneck	 affine camera
Stefan Boettcher	 affine camera model
Thomas Fernique	 affine camera model
Jianbo Gao	 affine dependencies
Martijn C. Schut	 affine dependencies
Tanja E. J. Vos	 affine dependencies
Arne Lindow	 affine gradient
Eberhard H&auml;nsler	 affine gradient
Katharina Morik	 affine gradient
Ralf K&uuml;sters	 affine image deformations
Carl A. Gunter	 affine invariant
John Perry Barlow	 affine invariant
Michael Kaufmann	 affine invariant
Mohit Gupta 0002	 Affine Invariant Recognition
Scott Hazelhurst	 Affine Invariant Recognition
Mohsen Jamali	 affine invariant spectral signatures (AISS)
Scott J. Emrich	 affine invariant spectral signatures (AISS)
Ljiljana Trajkovic	 affine recurrence equations
Rudolf Kruse	 affine recurrence equations
Arne S&oslash;lvberg	 affine scale-space
Eberhard Zehendner	 affine scale-space
Katharina T. Huber	 affine scale-space
B. J. Fogg	 affine structure
Esteban Meneses	 affine structure
Karoline Malmkj&aelig;r	 affine structure
Vahid Salmani	 affine structure
Vincent Moulton	 affine structure
Ming-Jun Lai	 affine structure encoding
Gerard de Haan	 affine structure recovery
Iulian Moraru	 affine structure recovery
Torsten Kuhlen	 affine structure recovery
Mohsen Kahani	 Affine Transform
Scott N. Woodfield	 Affine Transform
Gerard J. Holzmann	 affine transformation
Haytham Elghazel	 affine transformation
Iulian Neamtiu	 affine transformation
Yvonne Coady	 affine transformation
F. Donelson Smith	 affine transformations
Jacobus E. van der Merwe	 affine transformations
Gilles Bertrand	 Affinely Invariant Regions
Ming Zhao 0003	 Affinely Invariant Regions
Paolo Giorgini	 Affinely Invariant Regions
Mohammad Tehranipoor	 Affinity-based Self Scheduling
Olin Shivers	 Affinity-based Self Scheduling
Julia &Aring;hl&eacute;n	 Agent
Reuven Bar-Yehuda	 agent architectures
Richard Chang	 agent architectures
Stefan Milius	 agent architectures
Michael Schneider 0002	 agent communication
Peter Leinen	 agent communication
Stavros Konstantinidis	 agent communication
Stephen M. Smith	 agent communication
Yuriy Arbitman	 agent communication
Fabio Martinelli	 agent coordination
Ma&iacute;ra Ribeiro Rodrigues	 agent coordination
Manfred Schmidt-Schau&szlig;	 agent coordination
Matthew K. Franklin	 agent coordination
Novella Bartolini	 agent coordination
Paolo Ienne	 agent coordination
Sabine S&uuml;sstrunk	 agent coordination
Lian Li 0002	 agent development costs
Thierry Delot	 agent development costs
Manuel Costa	 Agent hierarchy.
R&uuml;diger Dillmann	 Agent hierarchy.
Wayne Wobcke	 Agent hierarchy.
Michael H. B&ouml;hlen	 agent name
Nicolette de Keizer	 agent name
Julia Couto	 Agent Negotiation
Bernhard Sendhoff	 agent oriented software engineering
Manuel Bronstein	 agent oriented software engineering
Michael T. Turvey	 agent oriented software engineering
Jamieson M. Cobleigh	 agent programming languages and environments
Sahin Albayrak	 agent programming languages and environments
Liane Margarida Rockenbach Tarouco	 agent synthesis system
Thierry Dutoit	 agent synthesis system
Margrit Gelautz	 agent-based query evaluation system
Udi Rotics	 agent-based query evaluation system
Uir&aacute; Kulesza	 agent-based query evaluation system
Mari Ostendorf	 agent-based query optimization
Udi Wieder	 agent-based query optimization
Ujjwal Bhattacharya	 agent-based query optimization
Jan Holub	 agent-oriented software engineering
Mark A. H&ouml;pflinger	 agent-oriented software engineering
Ramya Narasimha	 agent-oriented software engineering
Sandra Alves	 agent-oriented software engineering
Antonio Zamora	 agents
Arvind Gupta	 agents
Kee L. Teo	 Agents
Krzysztof R. Apt	 agents
Nancy Samaan	 agents
P&eacute;ter L. Erd&ouml;s	 agents
R&eacute;mi Gilleron	 agents
Susan J. Eggers	 Agents
Yongge Wang	 Agents
Vittorio Bil&ograve;	 agents and agent-based interaction
Yvonne Dittrich	 agents and agent-based interaction
Mauro Andreolini	 Agents in electronic commerce
Robert P. Dick	 Agents in electronic commerce
David Meredith	 Agentsheets
Kathy J. Liszka	 agglomerative hierarchical clustering techniques
Mihaela Cardei	 agglomerative hierarchical clustering techniques
Moeness G. Amin	 aggregate behavior.
Richard Jozsa	 aggregate behavior.
Sabine S&uuml;sstrunk	 aggregate behavior.
Lars Schmidt-Thieme	 aggregate computation.
Martin Doerr	 aggregate computation.
Beat Gfeller	 aggregation
Colleen Shannon	 aggregation
Edward P. F. Chan	 aggregation
Jean-Marc Vanden-Broeck	 aggregation
Marcelo Soares Pimenta	 aggregation
Michael Franz	 aggregation
Plaban Kumar Bhowmick	 aggregation
Sidney Redner	 aggregation
Mark Timmer	 aggressive speculation models
P&eacute;ter Urb&aacute;n	 aggressive speculation models
Wendy A. Kellogg	 aggressive speculation models
Bernd Reusch	 agreement
Bin Gao	 agreement
Man Chon U	 agreement
Carson Kai-Sang Leung	 agreement problem
Kimmo Fredriksson	 agreement problem
Robert S. Friedman	 agreement problem
Robert Wilensky	 agreement problem
Shantanu Dutt	 agreement problem
Marco Cadoli	 AIC information criterion
Siu-Ming Yiu	 AIC information criterion
Michael G. Strintzis	 aircraft
Jos&eacute; Enrique Armend&aacute;riz-I&ntilde;igo	 aircraft control
Mahesh K. Varanasi	 aircraft control
Michael S. Lew	 aircraft control
Jan Mycielski	 albedo maps
Makoto Tatsuta	 albedo maps
Nitin Gupta 0003	 albedo maps
Sujan Pandey	 albedo maps
Leonid Libkin	 albedo normalization
Minxin Shen	 albedo normalization
Misha Tsodyks	 albedo normalization
Indrakshi Ray	 ALF compiler
Josef Kallrath	 ALF compiler
Kim-Kwang Raymond Choo	 ALF compiler
R. David Lankes	 ALF compiler
Rafal Mantiuk	 ALF compiler
Richard J. Enbody	 ALF compiler
Ingemar J. Cox	 ALFred
Josef Kittler	 ALFred
Kim-Leng Poh	 ALFred
R. Kent Dybvig	 ALFred
Raffaele Giancarlo	 ALFred
Richard J. Fateman	 ALFred
Manfred Reichert	 ALFSIM
Nils T. Siebel	 ALFSIM
Aleksandar Kavcic	 Algebra
Beverly Park Woolf	 Algebra
Carl Tropper	 Algebra
Hans Daduna	 Algebra
Jordi Pag&egrave;s	 Algebra
Karl Kurbel	 Algebra
Masaaki Mizuno	 algebra
Masami Hagiya	 algebra
Md. Shamsul Alam	 Algebra
Michael Schwind	 algebra
Michael Scott	 algebra
Przemyslaw Stpiczynski	 Algebra
Shay Kutten	 Algebra
Simone Diniz Junqueira Barbosa	 Algebra
Slim Abdennadher	 Algebra
Sujit Dey	 algebra
Sulayman K. Sowe	 algebra
Mari&euml;lle Stoelinga	 algebra operators
Udo Feldkamp	 algebra operators
Ulf Blanke	 algebra operators
Aiko Pras	 algebraic and projective geometry.
Fathi Ben Ouezdou	 algebraic and projective geometry.
Oded Maler	 algebraic equations
Pierangelo Dell'Acqua	 algebraic equations
Gaihua Fu	 algebraic logic.
Philip A. Bernstein	 algebraic logic.
Laura Hollink	 algebraic manipulations
Thomas Jansen	 algebraic manipulations
Oded Regev	 algebraic number fields
Pierangelo Veltri	 algebraic number fields
Martin Bouchard	 algebraic query language
Theo Geisel	 algebraic query language
Masami Ito	 algebraic relations
Michael Seadle	 algebraic relations
Suleyman Serdar Kozat	 algebraic relations
Ant&oacute;nio R. C. Paiva	 algebraic semiotics
Bhaskar DasGupta	 algebraic semiotics
Carl G. Jockusch Jr.	 algebraic semiotics
Carl-Christian Kanne	 algebraic semiotics
David M. Nicol	 algebraic semiotics
Ant&oacute;nio Rito Silva	 algebraic specification
Bhavani M. Thuraisingham	 algebraic specification
Carl G. Looney	 algebraic specification
Carleen F. Maitland	 algebraic specification
David M. W. Powers	 algebraic specification
James George Dunham	 algebraic specification
Malay Ghosh	 algebraic specification
Martin P. Robillard	 algebraic specification
Mukesh Singhal	 algebraic specification
Patrick Delfmann	 algebraic specification
Risi Imre Kondor	 algebraic specification
Niklas Elmqvist	 algebraic specifications
Paulo Blauth Menezes	 algebraic specifications
Juan Frausto Sol&iacute;s	 Algebraic Structure
Pattie Maes	 Algebraic Structure
Wolfgang Fichtner	 algebraic varieties
Ahmed Darwish	 algebraic version language
Pierre-Malo Deni&eacute;lou	 algebraic version language
Lijun Zhang	 Algebraic-geometric codes.
Prudence W. H. Wong	 Algebraic-geometric codes.
Ahsan Habib	 algorithm
Amr M. Youssef	 algorithm
Anna Spagnolli	 algorithm
Bj&ouml;rn Gottfried	 algorithm
Bruce Hemingway	 algorithm
Ching Y. Suen	 algorithm
Erwin M. Bakker	 algorithm
Ewert Bengtsson	 algorithm
Fabrice Aubert	 algorithm
Fatos Xhafa	 algorithm
Inderjit S. Dhillon	 algorithm
Johel Mit&eacute;ran	 algorithm
John A. Ellis	 algorithm
John Lach	 algorithm
John M. Hollerbach	 algorithm
Luc Berthouze	 algorithm
Marta Z. Kwiatkowska	 algorithm
Michael F. Goodchild	 algorithm
Michael K. Chen	 algorithm
Michael P. Mesnier	 algorithm
Millist W. Vincent	 algorithm
Milton Halem	 algorithm
Nikos Paragios	 algorithm
Peter W. Shor	 algorithm
Prabhat Mishra	 algorithm
S&eacute;bastien Valette	 algorithm
Shalini R. Urs	 algorithm
Shimon Y. Nof	 algorithm
Szabolcs Mikul&aacute;s	 algorithm
Ulla Koppenhagen	 algorithm
Werner Sandmann	 algorithm
Yasser Ganjisaffar	 algorithm
Zdenek Dvorak	 algorithm
James Allan	 algorithm animation
Roberta Cuel	 algorithm animation
Rolf Wiehagen	 algorithm animation
Shichao Zhang	 algorithm animation
Andrew Woolf	 algorithm design
John Mylopoulos	 algorithm design
Jun Ni	 algorithm design
Laura Diosan	 algorithm design
Murat Dundar	 algorithm design
Andrew Y. Lindell	 algorithm design.
John N. Hooker	 algorithm design.
Claes Wohlin	 algorithm development
Jean Hennebert	 algorithm development
Sami Ayyorgun	 algorithm development
Margaret-Anne D. Storey	 algorithm hierarchy
Ruben C. Gur	 algorithm hierarchy
Bernardo Cockburn	 algorithm running time
Richard C. Holt	 algorithm running time
Sanjoy K. Mitter	 algorithm running time
Zikuan Liu	 algorithm running time
Symeon Bozapalidis	 algorithm taxonomy
Angelo Morzenti	 algorithm testing
Nadine Blinn	 algorithm testing
Stefan J&auml;hnichen	 algorithm testing
